question,response,context,score,reason
Explain how tuple assignment works and provide an example of swapping the values of two variables using tuple assignment.,"Tuple assignment allows you to assign multiple values to variables in a single line. The right side is evaluated as a tuple, and its elements are then assigned to the corresponding variables on the left.

**Example of swapping variables:**
```python
a, b = b, a
```
This elegantly swaps the values of `a` and `b` without the need for a temporary variable.","tuple with another:
>>> t = ('A',) + t[1:]
>>> t
('A', 'b', 'c', 'd', 'e')
This statement makes a new tuple and then makes t refer to it.
The relational operators work with tuples and other sequences; Python starts by comparing
the ﬁrst element from each sequence. If they are equal, it goes on to the next elements, and
so on, until it ﬁnds elements that differ. Subsequent elements are not considered (even if
they are really big).
>>> (0, 1, 2) < (0, 3, 4)
True
>>> (0, 1, 2000000) < (0, 3, 4)
True
12.2 T uple assignment
It is often useful to swap the values of two variables. With conventional assignments, you
have to use a temporary variable. For example, to swap a and b:
>>> temp = a
>>> a = b
>>> b = temp
This solution is cumbersome; tuple assignment is more elegant:
>>> a, b = b, a
12.3. T uples as return values 117
The left side is a tuple of variables; the right side is a tuple of expressions. Each value
is the same as returning multiple values. For example, if you want to divide two integers
and compute the quotient and remainder, it is inefﬁcient to compute x//y and then x%y. It
is better to compute them both at the same time.
The built-in function divmod takes two arguments and returns a tuple of two values, the
quotient and remainder. You can store the result as a tuple:
>>> t = divmod(7, 3)
>>> t
(2, 1)
Or use tuple assignment to store the elements separately:
>>> quot, rem = divmod(7, 3)
>>> quot
2
>>> rem
1
Here is an example of a function that returns a tuple:
def min_max(t):
return min(t), max(t)
max and min are built-in functions that ﬁnd the largest and smallest elements of a sequence.
min_max computes both and returns a tuple of two values.
118 Chapter 12. T uples
12.4 Variable-length argument tuples
Functions can take a variable number of arguments. A parameter name that begins with
* gathers arguments into a tuple. For example, printall takes any number of arguments
If you are having trouble keeping track of your data structures, structshape can help.
12.9 Glossary
tuple: An immutable sequence of elements.
tuple assignment: An assignment with a sequence on the right side and a tuple of vari-
ables on the left. The right side is evaluated and then its elements are assigned to the
variables on the left.
12.10. Exercises 123
gather: An operation that collects multiple arguments into a tuple.
scatter: An operation that makes a sequence behave like multiple arguments.
zip object: The result of calling a built-in function zip; an object that iterates through a
sequence of tuples.
iterator: An object that can iterate through a sequence, but which does not provide list
operators and methods.
data structure: A collection of related values, often organized in lists, dictionaries, tuples,
etc.
shape error: An error caused because a value has the wrong shape; that is, the wrong type
or size.
12.10 Exercises",100,"The retrieved context clearly explains tuple assignment, including how the right side is evaluated as a tuple and assigned to variables on the left. It explicitly gives the example of swapping variables using `a, b = b, a`, exactly matching the question and response. The context also includes additional relevant information about tuple unpacking and related tuple operations, with no distracting or irrelevant content that would impede understanding. The response could be generated solely from this context without needing outside knowledge."
"What are the gather and scatter operators in Python functions, and how do they facilitate working with variable-length argument lists?","In Python, the **gather** and **scatter** operators both use the asterisk (`*`) symbol to manage variable-length arguments:

*   **Gather:** Used in function definitions (e.g., `*args`), it collects multiple arguments passed to a function and packs them into a single tuple. This allows a function to accept an arbitrary number of arguments.
*   **Scatter:** Used when calling a function, it takes a sequence (like a list or tuple) and ""unpacks"" it, passing its elements as separate, individual arguments to the function.

Together, they facilitate flexibility by allowing functions to handle a dynamic number of inputs without requiring those inputs to be pre-packaged into a specific data structure.","T uples
This chapter presents one more built-in type, the tuple, and then shows how lists, dictionar-
ies, and tuples work together. I also present a useful feature for variable-length argument
lists, the gather and scatter operators.
One note: there is no consensus on how to pronounce “tuple”. Some people say “tuh-
ple”, which rhymes with “supple”. But in the context of programming, most people say
“too-ple”, which rhymes with “quadruple”.
12.1 T uples are immutable
A tuple is a sequence of values. The values can be any type, and they are indexed by
integers, so in that respect tuples are a lot like lists. The important difference is that tuples
are immutable.
Syntactically, a tuple is a comma-separated list of values:
>>> t = 'a', 'b', 'c', 'd', 'e'
Although it is not necessary, it is common to enclose tuples in parentheses:
>>> t = ('a', 'b', 'c', 'd', 'e')
To create a tuple with a single element, you have to include a ﬁnal comma:
>>> t1 = 'a',
>>> type(t1)
<class 'tuple'>
* gathers arguments into a tuple. For example, printall takes any number of arguments
and prints them:
def printall(*args):
print(args)
The gather parameter can have any name you like, but args is conventional. Here’s how
the function works:
>>> printall(1, 2.0, '3')
(1, 2.0, '3')
The complement of gather isscatter. If you have a sequence of values and you want to pass
it to a function as multiple arguments, you can use the * operator. For example, divmod
takes exactly two arguments; it doesn’t work with a tuple:
>>> t = (7, 3)
>>> divmod(t)
TypeError: divmod expected 2 arguments, got 1
But if you scatter the tuple, it works:
>>> divmod(*t)
(2, 1)
Many of the built-in functions use variable-length argument tuples. For example, max and
min can take any number of arguments:
>>> max(1, 2, 3)
3
But sum does not.
>>> sum(1, 2, 3)
TypeError: sum expected at most 2 arguments, got 3
As an exercise, write a function called sum_all that takes any number of arguments and
returns their sum.
If you are having trouble keeping track of your data structures, structshape can help.
12.9 Glossary
tuple: An immutable sequence of elements.
tuple assignment: An assignment with a sequence on the right side and a tuple of vari-
ables on the left. The right side is evaluated and then its elements are assigned to the
variables on the left.
12.10. Exercises 123
gather: An operation that collects multiple arguments into a tuple.
scatter: An operation that makes a sequence behave like multiple arguments.
zip object: The result of calling a built-in function zip; an object that iterates through a
sequence of tuples.
iterator: An object that can iterate through a sequence, but which does not provide list
operators and methods.
data structure: A collection of related values, often organized in lists, dictionaries, tuples,
etc.
shape error: An error caused because a value has the wrong shape; that is, the wrong type
or size.
12.10 Exercises",100,"The retrieved context explicitly defines both gather and scatter operators, illustrating their use in function definitions and calls with examples. It clearly explains that gather collects multiple arguments into a tuple, while scatter unpacks a sequence into individual arguments. All necessary information to produce the given response is present, well-organized, and there is no irrelevant or missing critical data."
"Describe how the built-in functions `zip` and `enumerate` work with sequences, and give an example of how each can be used in a loop with tuple assignment.","The `zip` function takes two or more sequences and interleaves them, producing an iterator of tuples containing corresponding elements. If sequences are of unequal length, it stops at the end of the shortest one. 

The provided text does not define `enumerate`; however, in Python, `enumerate` adds a counter to an iterable, returning pairs of `(index, element)`.

**Examples using tuple assignment:**

**Using `zip`:**
```python
# Iterating through two sequences simultaneously
for letter, number in zip('abc', [0, 1, 2]):
    print(letter, number)
```

**Using `enumerate`:**
```python
# Iterating through a sequence with index tracking
for index, element in enumerate(['a', 'b', 'c']):
    print(index, element)
```","returns their sum.
12.5 Lists and tuples
zip is a built-in function that takes two or more sequences and interleaves them. The name
of the function refers to a zipper, which interleaves two rows of teeth.
This example zips a string and a list:
>>> s = 'abc'
>>> t = [0, 1, 2]
>>> zip(s, t)
<zip object at 0x7f7d0a9e7c48>
The result is a zip object that knows how to iterate through the pairs. The most common
use of zip is in a for loop:
12.5. Lists and tuples 119
>>> for pair in zip(s, t):
... print(pair)
...
('a', 0)
('b', 1)
('c', 2)
A zip object is a kind of iterator, which is any object that iterates through a sequence.
Iterators are similar to lists in some ways, but unlike lists, you can’t use an index to select
an element from an iterator.
If you want to use list operators and methods, you can use a zip object to make a list:
>>> list(zip(s, t))
[('a', 0), ('b', 1), ('c', 2)]
The result is a list of tuples; in this example, each tuple contains a character from the string
If you are having trouble keeping track of your data structures, structshape can help.
12.9 Glossary
tuple: An immutable sequence of elements.
tuple assignment: An assignment with a sequence on the right side and a tuple of vari-
ables on the left. The right side is evaluated and then its elements are assigned to the
variables on the left.
12.10. Exercises 123
gather: An operation that collects multiple arguments into a tuple.
scatter: An operation that makes a sequence behave like multiple arguments.
zip object: The result of calling a built-in function zip; an object that iterates through a
sequence of tuples.
iterator: An object that can iterate through a sequence, but which does not provide list
operators and methods.
data structure: A collection of related values, often organized in lists, dictionaries, tuples,
etc.
shape error: An error caused because a value has the wrong shape; that is, the wrong type
or size.
12.10 Exercises
The result is a list of tuples; in this example, each tuple contains a character from the string
and the corresponding element from the list.
If the sequences are not the same length, the result has the length of the shorter one.
>>> list(zip('Anne', 'Elk'))
[('A', 'E'), ('n', 'l'), ('n', 'k')]
You can use tuple assignment in a for loop to traverse a list of tuples:
t = [('a', 0), ('b', 1), ('c', 2)]
for letter, number in t:
print(number, letter)
Each time through the loop, Python selects the next tuple in the list and assigns the ele-
ments to letter and number. The output of this loop is:
0 a
1 b
2 c
If you combine zip, for and tuple assignment, you get a useful idiom for traversing two
(or more) sequences at the same time. For example, has_match takes two sequences, t1
and t2, and returns True if there is an index i such that t1[i] == t2[i]:
def has_match(t1, t2):
for x, y in zip(t1, t2):
if x == y:
return True
return False",75,"The context explains how `zip` works in detail, including its behavior with sequences, the output as an iterator of tuples, and example usage with tuple assignment in loops. However, it lacks any direct explanation or example of `enumerate`, only mentioning it in the question but not in the retrieved text. The response’s explanation of `enumerate` relies on outside knowledge not found in the context. Thus, while the retrieval sufficiently supports the `zip` portion, it is incomplete for fully answering the question about both built-ins."
What are the advantages and disadvantages of using a list versus a dictionary (histogram) to represent the collection of suffixes in Markov analysis?,"Based on the provided text, the advantages and disadvantages are:

**List:**
*   **Advantages:** It is easy to implement and choosing a random element from a list is computationally easy.
*   **Disadvantages:** It may be less efficient for certain operations compared to a histogram, depending on the requirements of the analysis.

**Dictionary (Histogram):**
*   **Advantages:** It provides an efficient way to represent the frequency of suffixes.
*   **Disadvantages:** It is harder to choose a random element from a histogram efficiently compared to a list.","sufﬁx (or increasing the frequency of an existing one), and choosing a random sufﬁx.
Adding a new sufﬁx is equally easy for the list implementation or the histogram. Choosing
a random element from a list is easy; choosing from a histogram is harder to do efﬁciently
(see Exercise 13.7).
So far we have been talking mostly about ease of implementation, but there are other fac-
tors to consider in choosing data structures. One is run time. Sometimes there is a theoreti-
cal reason to expect one data structure to be faster than other; for example, I mentioned that
13.10. Debugging 133
the in operator is faster for dictionaries than for lists, at least when the number of elements
is large.
But often you don’t know ahead of time which implementation will be faster. One option is
to implement both of them and see which is better. This approach is calledbenchmarking.
A practical alternative is to choose the data structure that is easiest to implement, and then
You should attempt this exercise before you go on; then you can download my so-
lution from https://thinkpython.com/code/markov.py. You will also need https://
thinkpython.com/code/emma.txt.
13.9 Data structures
Using Markov analysis to generate random text is fun, but there is also a point to this
exercise: data structure selection. In your solution to the previous exercises, you had to
choose:
• How to represent the preﬁxes.
• How to represent the collection of possible sufﬁxes.
• How to represent the mapping from each preﬁx to the collection of possible sufﬁxes.
The last one is easy: a dictionary is the obvious choice for a mapping from keys to corre-
sponding values.
For the preﬁxes, the most obvious options are string, list of strings, or tuple of strings.
For the sufﬁxes, one option is a list; another is a histogram (dictionary).
How should you choose? The ﬁrst step is to think about the operations you will need to
For example, if you start with the preﬁx “Half a”, then the next word has to be “bee”,
because the preﬁx only appears once in the text. The next preﬁx is “a bee”, so the next
sufﬁx might be “philosophically”, “be” or “due”.
In this example the length of the preﬁx is always two, but you can do Markov analysis with
any preﬁx length.
Exercise 13.8. Markov analysis:
1. Write a program to read a text from a ﬁle and perform Markov analysis. The result should be
a dictionary that maps from preﬁxes to a collection of possible sufﬁxes. The collection might
be a list, tuple, or dictionary; it is up to you to make an appropriate choice. You can test your
program with preﬁx length two, but you should write the program in a way that makes it easy
to try other lengths.
2. Add a function to the previous program to generate random text based on the Markov analysis.
Here is an example from Emma with preﬁx length 2:
He was very clever, be it sweetness or be angry, ashamed or only amused, at such",75,"The context contains the key points needed to answer the question, including the ease of implementation and random selection from a list, and the efficiency benefits of dictionaries for frequency representation. It also notes the difficulty of selecting a random suffix from a histogram. However, the context lacks a clear, explicit comparison of all advantages and disadvantages in a concise form, and some explanations are implicit or scattered. There is some irrelevant text (e.g., about preﬁxes and exercises), but overall the retrieved context is sufficient to generate the given response without outside knowledge."
How does the `process_line` function handle punctuation and case when building a word frequency histogram from a text file?,"The `process_line` function handles punctuation and case by:

*   **Punctuation:** Using the `strip()` method with `string.punctuation` and `string.whitespace` to remove those characters from the beginning and end of each word.
*   **Case:** Using the `lower()` method to convert each word to lowercase, ensuring that words are counted consistently regardless of capitalization.","lower return new strings.)
Finally, process_line updates the histogram by creating a new item or incrementing an
existing one.
To count the total number of words in the ﬁle, we can add up the frequencies in the his-
togram:
def total_words(hist):
return sum(hist.values())
128 Chapter 13. Case study: data structure selection
The number of different words is just the number of items in the dictionary:
def different_words(hist):
return len(hist)
Here is some code to print the results:
print('Total number of words:', total_words(hist))
print('Number of different words:', different_words(hist))
And the results:
Total number of words: 161080
Number of different words: 7214
13.4 Most common words
To ﬁnd the most common words, we can make a list of tuples, where each tuple contains a
word and its frequency, and sort it.
The following function takes a histogram and returns a list of word-frequency tuples:
def most_common(hist):
t = []
for key, value in hist.items():
t.append((value, key))
hist = dict()
fp = open(filename)
for line in fp:
process_line(line, hist)
return hist
def process_line(line, hist):
line = line.replace('-', ' ')
for word in line.split():
word = word.strip(string.punctuation + string.whitespace)
word = word.lower()
hist[word] = hist.get(word, 0) + 1
hist = process_file('emma.txt')
This program reads emma.txt, which contains the text of Emma by Jane Austen.
process_file loops through the lines of the ﬁle, passing them one at a time to
process_line. The histogram hist is being used as an accumulator.
process_line uses the string methodreplace to replace hyphens with spaces before using
split to break the line into a list of strings. It traverses the list of words and uses strip
and lower to remove punctuation and convert to lower case. (It is a shorthand to say that
strings are “converted”; remember that strings are immutable, so methods like strip and
lower return new strings.)
3
The random module also provides functions to generate random values from continuous
distributions including Gaussian, exponential, gamma, and a few more.
Exercise 13.5. Write a function named choose_from_hist that takes a histogram as deﬁned in
Section 11.2 and returns a random value from the histogram, chosen with probability in proportion
to frequency. For example, for this histogram:
13.3. Word histogram 127
>>> t = ['a', 'a', 'b']
>>> hist = histogram(t)
>>> hist
{'a': 2, 'b': 1}
your function should return 'a' with probability 2/3 and 'b' with probability 1/3.
13.3 Word histogram
You should attempt the previous exercises before you go on. You can download my
solution from https://thinkpython.com/code/analyze_book1.py. You will also need
https://thinkpython.com/code/emma.txt.
Here is a program that reads a ﬁle and builds a histogram of the words in the ﬁle:
import string
def process_file(filename):
hist = dict()
fp = open(filename)
for line in fp:
process_line(line, hist)",100,"The retrieved context fully includes the relevant code and explanation for how `process_line` handles punctuation (using `strip(string.punctuation + string.whitespace)`) and case (using `lower()`). The essential details about replacing hyphens with spaces, splitting lines into words, stripping punctuation, and converting to lowercase are all present, enabling a complete and accurate answer without needing outside information."
"Explain how the algorithm for choosing a random word from a histogram using cumulative sums and bisection search works, and why it is more efficient than the naive approach.","The algorithm for choosing a random word using cumulative sums works as follows:

1.  **Preparation:** You create a list of the unique words and a corresponding list of cumulative frequencies (where each element is the sum of all frequencies up to that point).
2.  **Selection:** You generate a random number between 1 and the total number of words ($n$).
3.  **Search:** You perform a **bisection search** on the cumulative sum list to find where the random number fits. The resulting index corresponds to the word in the word list.

**Why it is more efficient:**
The naive approach rebuilds a massive list (proportional to the total number of words in the book) every time a selection is made, which is memory-intensive and slow. The cumulative sum approach requires building the frequency list only **once**. Subsequent selections use bisection search, which is highly efficient ($O(\log n)$), allowing you to pick words much faster without storing thousands of redundant word copies.","the list:
def random_word(h):
t = []
for word, freq in h.items():
t.extend([word] * freq)
return random.choice(t)
The expression [word] * freq creates a list with freq copies of the string word. The
extend method is similar to append except that the argument is a sequence.
This algorithm works, but it is not very efﬁcient; each time you choose a random word, it
rebuilds the list, which is as big as the original book. An obvious improvement is to build
the list once and then make multiple selections, but the list is still big.
An alternative is:
1. Use keys to get a list of the words in the book.
2. Build a list that contains the cumulative sum of the word frequencies (see Exer-
cise 10.2). The last item in this list is the total number of words in the book, n.
3. Choose a random number from 1 to n. Use a bisection search (See Exercise 10.10) to
ﬁnd the index where the random number would be inserted in the cumulative sum.
ﬁnd the index where the random number would be inserted in the cumulative sum.
4. Use the index to ﬁnd the corresponding word in the word list.
Exercise 13.7. Write a program that uses this algorithm to choose a random word from the book.
Solution: https: // thinkpython. com/ code/ analyze_ book3. py.
13.8 Markov analysis
If you choose words from the book at random, you can get a sense of the vocabulary, but
you probably won’t get a sentence:
13.8. Markov analysis 131
this the small regard harriet which knightley's it most things
A series of random words seldom makes sense because there is no relationship between
successive words. For example, in a real sentence you would expect an article like “the” to
be followed by an adjective or a noun, and probably not a verb or adverb.
One way to measure these kinds of relationships is Markov analysis, which characterizes,
for a given sequence of words, the probability of the words that might come next. For
sufﬁx (or increasing the frequency of an existing one), and choosing a random sufﬁx.
Adding a new sufﬁx is equally easy for the list implementation or the histogram. Choosing
a random element from a list is easy; choosing from a histogram is harder to do efﬁciently
(see Exercise 13.7).
So far we have been talking mostly about ease of implementation, but there are other fac-
tors to consider in choosing data structures. One is run time. Sometimes there is a theoreti-
cal reason to expect one data structure to be faster than other; for example, I mentioned that
13.10. Debugging 133
the in operator is faster for dictionaries than for lists, at least when the number of elements
is large.
But often you don’t know ahead of time which implementation will be faster. One option is
to implement both of them and see which is better. This approach is calledbenchmarking.
A practical alternative is to choose the data structure that is easiest to implement, and then",100,"The retrieved context fully explains the naive approach and the cumulative sums with bisection search algorithm, including why the naive method is inefficient and how the cumulative sum method works step-by-step. It also highlights the efficiency gain via building the list once and using binary search, which matches the response perfectly. There is some extra text but nothing distracting, and no critical information is missing. The response could be generated entirely from this context."
"What is set subtraction in the context of comparing word lists, and how can it be used to find words in a book that do not appear in a given word list?","In this context, set subtraction is the process of identifying elements present in one set (the unique words in a book) that are absent from another set (a provided word list). 

It is used to find words in a book not found in the word list by iterating through the book's word collection (typically stored as keys in a dictionary or a `set` object) and filtering out any words that also exist in the word list. This allows the user to isolate and analyze unique, misspelled, or missing vocabulary from the book.","Finding the words from the book that are not in the word list fromwords.txt is a problem
you might recognize as set subtraction; that is, we want to ﬁnd all the words from one set
(the words in the book) that are not in the other (the words in the list).
subtract takes dictionaries d1 and d2 and returns a new dictionary that contains all the
keys from d1 that are not in d2. Since we don’t really care about the values, we set them all
to None.
def subtract(d1, d2):
res = dict()
for key in d1:
if key not in d2:
res[key] = None
return res
To ﬁnd the words in the book that are not inwords.txt, we can use process_file to build
a histogram for words.txt, and then subtract:
words = process_file('words.txt')
diff = subtract(hist, words)
print(""Words in the book that aren't in the word list:"")
for word in diff:
print(word, end=' ')
Here are some of the results from Emma:
130 Chapter 13. Case study: data structure selection
Words in the book that aren't in the word list:
Words in the book that aren't in the word list:
rencontre jane's blanche woodhouses disingenuousness
friend's venice apartment ...
Some of these words are names and possessives. Others, like “rencontre”, are no longer in
common use. But a few are common words that should really be in the list!
Exercise 13.6. Python provides a data structure called set that provides many common set
operations. You can read about them in Section 19.5, or read the documentation at http:
// docs. python. org/ 3/ library/ stdtypes. html# types-set.
Write a program that uses set subtraction to ﬁnd words in the book that are not in the word list.
Solution: https: // thinkpython. com/ code/ analyze_ book2. py.
13.7 Random words
To choose a random word from the histogram, the simplest algorithm is to build a list with
multiple copies of each word, according to the observed frequency, and then choose from
the list:
def random_word(h):
t = []
for word, freq in h.items():
t.extend([word] * freq)
words in the book.
Exercise 13.4. Modify the previous program to read a word list (see Section 9.1) and then print all
the words in the book that are not in the word list. How many of them are typos? How many of
them are common words that should be in the word list, and how many of them are really obscure?
13.2 Random numbers
Given the same inputs, most computer programs generate the same outputs every time,
so they are said to be deterministic. Determinism is usually a good thing, since we expect
the same calculation to yield the same result. For some applications, though, we want the
computer to be unpredictable. Games are an obvious example, but there are more.
Making a program truly nondeterministic turns out to be difﬁcult, but there are ways to
make it at least seem nondeterministic. One of them is to use algorithms that generate
pseudorandom numbers. Pseudorandom numbers are not truly random because they are",100,"The retrieved context fully explains set subtraction in the context of comparing word lists, including example code and application to finding words in a book not in a given word list. It contains all necessary details to produce the response without needing any outside information. The presence of the subtract function, explanation, and usage example makes the retrieval complete and well-chunked."
"How does Zipf’s law relate word frequency to rank, and how can plotting log frequency versus log rank help verify this relationship?","Zipf’s law relates word frequency ($f$) to rank ($r$) using the formula $f = cr^{-s}$, where $c$ and $s$ are language-dependent constants.

Plotting the log of frequency versus the log of rank ($\log f = \log c - s \log r$) transforms this power-law relationship into a linear equation. If the data follows Zipf’s law, the resulting plot will be a straight line, where the slope of the line corresponds to $-s$.","f , of the word with rank r is:
f = cr−s
where s and c are parameters that depend on the language and the text. If you take the logarithm of
both sides of this equation, you get:
log f = log c −s log r
So if you plot log f versus log r, you should get a straight line with slope −s and intercept log c.
Write a program that reads a text from a ﬁle, counts word frequencies, and prints one line for each
word, in descending order of frequency, with log f and log r. Use the graphing program of your
choice to plot the results and check whether they form a straight line. Can you estimate the value of
s?
Solution: https: // thinkpython. com/ code/ zipf. py. To run my solution, you need the plot-
ting module matplotlib. If you installed Anaconda, you already havematplotlib; otherwise you
might have to install it.
136 Chapter 13. Case study: data structure selection
generated by a deterministic program.
default value: The value given to an optional parameter if no argument is provided.
override: To replace a default value with an argument.
benchmarking: The process of choosing between data structures by implementing alter-
natives and testing them on a sample of the possible inputs.
rubber duck debugging: Debugging by explaining your problem to an inanimate object
such as a rubber duck. Articulating the problem can help you solve it, even if the
rubber duck doesn’t know Python.
13.12 Exercises
Exercise 13.9. The “rank” of a word is its position in a list of words sorted by frequency: the most
common word has rank 1, the second most common has rank 2, etc.
13.12. Exercises 135
Zipf’s law describes a relationship between the ranks and frequencies of words in natural languages
(http: // en. wikipedia. org/ wiki/ Zipf’s_ law). Speciﬁcally, it predicts that the frequency,
f , of the word with rank r is:
f = cr−s
def most_common(hist):
t = []
for key, value in hist.items():
t.append((value, key))
t.sort(reverse=True)
return t
In each tuple, the frequency appears ﬁrst, so the resulting list is sorted by frequency. Here
is a loop that prints the ten most common words:
t = most_common(hist)
print('The most common words are:')
for freq, word in t[:10]:
print(word, freq, sep='\t')
I use the keyword argumentsep to tell print to use a tab character as a “separator”, rather
than a space, so the second column is lined up. Here are the results from Emma:
The most common words are:
to 5242
the 5205
and 4897
of 4295
i 3191
a 3130
it 2529
her 2483
was 2400
she 2364
This code can be simpliﬁed using the key parameter of the sort function. If you are curi-
ous, you can read about it at https://wiki.python.org/moin/HowTo/Sorting.
13.5. Optional parameters 129
13.5 Optional parameters
We have seen built-in functions and methods that take optional arguments. It is possible",100,"The retrieved context fully contains the key formula relating word frequency to rank via Zipf’s law, the logarithmic transformation into a linear form, and the explanation that plotting log frequency versus log rank yields a straight line whose slope corresponds to the negative exponent. It also includes relevant code snippets and examples supporting the explanation, with no distracting or missing critical information. The response could be generated solely from this context."
What is the difference between a transient program and a persistent program in terms of data storage?,"A transient program’s data disappears when it ends, starting with a clean slate upon each restart. A persistent program keeps at least some of its data in permanent storage, allowing it to pick up where it left off after shutting down and restarting.","Files
This chapter introduces the idea of “persistent” programs that keep data in permanent stor-
age, and shows how to use different kinds of permanent storage, like ﬁles and databases.
14.1 Persistence
Most of the programs we have seen so far are transient in the sense that they run for a short
time and produce some output, but when they end, their data disappears. If you run the
program again, it starts with a clean slate.
Other programs are persistent: they run for a long time (or all the time); they keep at least
some of their data in permanent storage (a hard drive, for example); and if they shut down
and restart, they pick up where they left off.
Examples of persistent programs are operating systems, which run pretty much whenever
a computer is on, and web servers, which run all the time, waiting for requests to come in
on the network.
One of the simplest ways for programs to maintain their data is by reading and writing
sequences:
>>> print(repr(s))
'1 2\t 3\n 4'
This can be helpful for debugging.
One other problem you might run into is that different systems use different characters to
indicate the end of a line. Some systems use a newline, represented\n. Others use a return
character, represented \r. Some use both. If you move ﬁles between different systems,
these inconsistencies can cause problems.
For most systems, there are applications to convert from one format to another. You can
ﬁnd them (and read more about this issue) at http://en.wikipedia.org/wiki/Newline.
Or, of course, you could write one yourself.
14.11. Glossary 145
14.11 Glossary
persistent: Pertaining to a program that runs indeﬁnitely and keeps at least some of its
data in permanent storage.
format operator: An operator, %, that takes a format string and a tuple and generates a
string that includes the elements of the tuple formatted as speciﬁed by the format
string.
One of the simplest ways for programs to maintain their data is by reading and writing
text ﬁles. We have already seen programs that read text ﬁles; in this chapter we will see
programs that write them.
An alternative is to store the state of the program in a database. In this chapter I will present
a simple database and a module, pickle, that makes it easy to store program data.
14.2 Reading and writing
A text ﬁle is a sequence of characters stored on a permanent medium like a hard drive,
ﬂash memory, or CD-ROM. We saw how to open and read a ﬁle in Section 9.1.
To write a ﬁle, you have to open it with mode 'w' as a second parameter:
>>> fout = open('output.txt', 'w')
138 Chapter 14. Files
If the ﬁle already exists, opening it in write mode clears out the old data and starts fresh,
so be careful! If the ﬁle doesn’t exist, a new one is created.
open returns a ﬁle object that provides methods for working with the ﬁle. The write
method puts data into the ﬁle.",100,"The retrieved context clearly and directly explains the difference between transient and persistent programs in terms of data storage, including that transient programs lose their data upon termination while persistent programs store data permanently and can resume state after restart. The context includes precise definitions and relevant examples, with no important information missing or irrelevant distractions, enabling the response to be generated solely from this context."
"How do you open a file for writing in Python, and what happens if the file already exists?","To open a file for writing, you use the `open()` function with `'w'` as the second parameter (e.g., `fout = open('output.txt', 'w')`). If the file already exists, opening it in write mode clears out the old data and starts fresh.","And if you try to open a directory for reading, you get
>>> fin = open('/home')
IsADirectoryError: [Errno 21] Is a directory: '/home'
To avoid these errors, you could use functions like os.path.exists and os.path.isfile,
but it would take a lot of time and code to check all the possibilities (if “ Errno 21” is any
indication, there are at least 21 things that can go wrong).
It is better to go ahead and try—and deal with problems if they happen—which is exactly
what the try statement does. The syntax is similar to an if...else statement:
try:
fin = open('bad_file')
except:
print('Something went wrong.')
14.6. Databases 141
Python starts by executing the try clause. If all goes well, it skips the except clause and
proceeds. If an exception occurs, it jumps out of thetry clause and runs the except clause.
Handling an exception with a try statement is called catching an exception. In this exam-
ple, the except clause prints an error message that is not very helpful. In general, catching
One of the simplest ways for programs to maintain their data is by reading and writing
text ﬁles. We have already seen programs that read text ﬁles; in this chapter we will see
programs that write them.
An alternative is to store the state of the program in a database. In this chapter I will present
a simple database and a module, pickle, that makes it easy to store program data.
14.2 Reading and writing
A text ﬁle is a sequence of characters stored on a permanent medium like a hard drive,
ﬂash memory, or CD-ROM. We saw how to open and read a ﬁle in Section 9.1.
To write a ﬁle, you have to open it with mode 'w' as a second parameter:
>>> fout = open('output.txt', 'w')
138 Chapter 14. Files
If the ﬁle already exists, opening it in write mode clears out the old data and starts fresh,
so be careful! If the ﬁle doesn’t exist, a new one is created.
open returns a ﬁle object that provides methods for working with the ﬁle. The write
method puts data into the ﬁle.
of a ﬁle and computes a “checksum”. You can read about MD5 at http://en.wikipedia.
org/wiki/Md5. This command provides an efﬁcient way to check whether two ﬁles have
the same contents. The probability that different contents yield the same checksum is very
small (that is, unlikely to happen before the universe collapses).
You can use a pipe to run md5sum from Python and get the result:
>>> filename = 'book.tex'
>>> cmd = 'md5sum ' + filename
>>> fp = os.popen(cmd)
>>> res = fp.read()
>>> stat = fp.close()
>>> print(res)
1e0033f0ed0656636de0d75144ba32e0 book.tex
>>> print(stat)
None
14.9 Writing modules
Any ﬁle that contains Python code can be imported as a module. For example, suppose
you have a ﬁle named wc.py with the following code:
def linecount(filename):
count = 0
for line in open(filename):
count += 1
return count
print(linecount('wc.py'))
If you run this program, it reads itself and prints the number of lines in the ﬁle, which is 7.
You can also import it like this:",100,"The retrieved context explicitly explains how to open a file for writing in Python using `open()` with mode `'w'`, and clearly states what happens if the file already exists (it is cleared and starts fresh). The relevant example and explanation are present and sufficient to produce the given response without requiring outside knowledge. Although there is some extra unrelated text, it does not detract from the core information needed."
